,artist,title,label,rank,week_start,week_end,genre
3164,Azet,Fast Life,KMN Gang,5,27.04.2018,03.05.2018,HipHop
3165,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,6,27.04.2018,03.05.2018,HipHop
3166,Moe Phoenix,NOA,Life Is Pain,7,27.04.2018,03.05.2018,HipHop
3167,RAF Camora,Anthrazit,Indipendenza,8,27.04.2018,03.05.2018,HipHop
3168,Olexesh,Rolexesh,385ideal,9,27.04.2018,03.05.2018,HipHop
3169,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,10,27.04.2018,03.05.2018,HipHop
3170,Trettmann,#DIY,SoulForce Records,11,27.04.2018,03.05.2018,HipHop
3171,Capital Bra,Blyat,Auf!Keinen!Fall!,12,27.04.2018,03.05.2018,HipHop
3172,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,13,27.04.2018,03.05.2018,HipHop
3173,Kontra K,Gute Nacht,BMG,14,27.04.2018,03.05.2018,HipHop
3174,Cardi B,Invasion Of Privacy,Atlantic,15,27.04.2018,03.05.2018,HipHop
3175,Eminem,Revival,Interscope,16,27.04.2018,03.05.2018,HipHop
3176,18 Karat,Geld Gold Gras,Banger Musik,17,27.04.2018,03.05.2018,HipHop
3177,Kendrick Lamar,DAMN.,Universal,18,27.04.2018,03.05.2018,HipHop
3178,Fler,Flizzy,Maskulin,19,27.04.2018,03.05.2018,HipHop
3179,Rin,Eros,Division,20,27.04.2018,03.05.2018,HipHop
3180,Ufo361,808,Stay High,1,20.04.2018,26.04.2018,HipHop
3181,Azet,Fast Life,KMN Gang,2,20.04.2018,26.04.2018,HipHop
3182,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,3,20.04.2018,26.04.2018,HipHop
3183,RAF Camora,Anthrazit,Indipendenza,4,20.04.2018,26.04.2018,HipHop
3184,Olexesh,Rolexesh,385ideal,5,20.04.2018,26.04.2018,HipHop
3185,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,6,20.04.2018,26.04.2018,HipHop
3186,Trettmann,#DIY,SoulForce Records,7,20.04.2018,26.04.2018,HipHop
3187,Cardi B,Invasion Of Privacy,Atlantic,8,20.04.2018,26.04.2018,HipHop
3188,Capital Bra,Blyat,Auf!Keinen!Fall!,9,20.04.2018,26.04.2018,HipHop
3189,Fler,Flizzy,Maskulin,10,20.04.2018,26.04.2018,HipHop
3190,Kontra K,Gute Nacht,BMG,11,20.04.2018,26.04.2018,HipHop
3191,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,12,20.04.2018,26.04.2018,HipHop
3192,Kendrick Lamar,DAMN.,Universal,13,20.04.2018,26.04.2018,HipHop
3193,Eminem,Revival,Interscope,14,20.04.2018,26.04.2018,HipHop
3194,18 Karat,Geld Gold Gras,Banger Musik,15,20.04.2018,26.04.2018,HipHop
3195,Post Malone,Stoney,Republic Records,16,20.04.2018,26.04.2018,HipHop
3196,SXTN,Leben am Limit,Jinx Music,17,20.04.2018,26.04.2018,HipHop
3197,Flatbush Zombies,Vacation In Hell,ADA/Global,18,20.04.2018,26.04.2018,HipHop
3198,Miami Yacine,Casia,KMN Gang,19,20.04.2018,26.04.2018,HipHop
3199,Migos,Culture II,Capitol,20,20.04.2018,26.04.2018,HipHop
3200,Azet,Fast Life,KMN Gang,1,13.04.2018,19.04.2018,HipHop
3201,RAF Camora,Anthrazit,Indipendenza,2,13.04.2018,19.04.2018,HipHop
3202,Olexesh,Rolexesh,385ideal,3,13.04.2018,19.04.2018,HipHop
3203,Fler,Flizzy,Maskulin,4,13.04.2018,19.04.2018,HipHop
3204,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,5,13.04.2018,19.04.2018,HipHop
3205,TaiMo,Tai Till I Die,Steuerfreimoney,6,13.04.2018,19.04.2018,HipHop
3206,Cardi B,Invasion Of Privacy,Atlantic,7,13.04.2018,19.04.2018,HipHop
3207,Trettmann,#DIY,SoulForce Records,8,13.04.2018,19.04.2018,HipHop
3208,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,9,13.04.2018,19.04.2018,HipHop
3209,18 Karat,Geld Gold Gras,Banger Musik,10,13.04.2018,19.04.2018,HipHop
3210,Capital Bra,Blyat,Auf!Keinen!Fall!,11,13.04.2018,19.04.2018,HipHop
3211,Eminem,Revival,Interscope,12,13.04.2018,19.04.2018,HipHop
3212,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,13,13.04.2018,19.04.2018,HipHop
3213,Kontra K,Gute Nacht,BMG,14,13.04.2018,19.04.2018,HipHop
3214,MC Bomber,Gebüsch,Proletik,15,13.04.2018,19.04.2018,HipHop
3215,Maître Gims,Ceinture noire,B1 Recordings,16,13.04.2018,19.04.2018,HipHop
3216,SXTN,Leben am Limit,Jinx Music,17,13.04.2018,19.04.2018,HipHop
3217,Migos,Culture II,Capitol,18,13.04.2018,19.04.2018,HipHop
3218,Savas & Sido,Royal Bunker,Universal Domestic Urban,19,13.04.2018,19.04.2018,HipHop
3219,Miami Yacine,Casia,KMN Gang,20,13.04.2018,19.04.2018,HipHop
3220,Azet,Fast Life,KMN Gang,1,06.04.2018,12.04.2018,HipHop
3221,MC Bomber,Gebüsch,Proletik,2,06.04.2018,12.04.2018,HipHop
3222,Fler,Flizzy,Maskulin,3,06.04.2018,12.04.2018,HipHop
3223,RAF Camora,Anthrazit,Indipendenza,4,06.04.2018,12.04.2018,HipHop
3224,Olexesh,Rolexesh,385ideal,5,06.04.2018,12.04.2018,HipHop
3225,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,6,06.04.2018,12.04.2018,HipHop
3226,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,7,06.04.2018,12.04.2018,HipHop
3227,Trettmann,#DIY,SoulForce Records,8,06.04.2018,12.04.2018,HipHop
3228,18 Karat,Geld Gold Gras,Banger Musik,9,06.04.2018,12.04.2018,HipHop
3229,Rich The Kid,The World Is Yours,Interscope,10,06.04.2018,12.04.2018,HipHop
3230,Eminem,Revival,Interscope,11,06.04.2018,12.04.2018,HipHop
3231,Capital Bra,Blyat,Auf!Keinen!Fall!,12,06.04.2018,12.04.2018,HipHop
3232,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,13,06.04.2018,12.04.2018,HipHop
3233,Kontra K,Gute Nacht,BMG,14,06.04.2018,12.04.2018,HipHop
3234,Migos,Culture II,Capitol,15,06.04.2018,12.04.2018,HipHop
3235,SXTN,Leben am Limit,Jinx Music,16,06.04.2018,12.04.2018,HipHop
3236,Rin,Eros,Division,17,06.04.2018,12.04.2018,HipHop
3237,Maître Gims,Ceinture noire,B1 Recordings,18,06.04.2018,12.04.2018,HipHop
3238,Post Malone,Stoney,Republic Records,19,06.04.2018,12.04.2018,HipHop
3239,Miami Yacine,Casia,KMN Gang,20,06.04.2018,12.04.2018,HipHop
3240,Fler,Flizzy,Maskulin,1,30.03.2018,05.04.2018,HipHop
3241,Olexesh,Rolexesh,385ideal,2,30.03.2018,05.04.2018,HipHop
3242,RAF Camora,Anthrazit,Indipendenza,3,30.03.2018,05.04.2018,HipHop
3243,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,4,30.03.2018,05.04.2018,HipHop
3244,18 Karat,Geld Gold Gras,Banger Musik,5,30.03.2018,05.04.2018,HipHop
3245,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,6,30.03.2018,05.04.2018,HipHop
3246,Eminem,Revival,Interscope,7,30.03.2018,05.04.2018,HipHop
3247,Maître Gims,Ceinture noire,B1 Recordings,8,30.03.2018,05.04.2018,HipHop
3248,Trettmann,#DIY,SoulForce Records,9,30.03.2018,05.04.2018,HipHop
3249,Capital Bra,Blyat,Auf!Keinen!Fall!,10,30.03.2018,05.04.2018,HipHop
3250,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,11,30.03.2018,05.04.2018,HipHop
3251,Kontra K,Gute Nacht,BMG,12,30.03.2018,05.04.2018,HipHop
3252,Migos,Culture II,Capitol,13,30.03.2018,05.04.2018,HipHop
3253,Vega,V,Universal Domestic Urban,14,30.03.2018,05.04.2018,HipHop
3254,Cro,tru.,Chimperator Productions,15,30.03.2018,05.04.2018,HipHop
3255,Fard,Alter Ego II,Ruhrpott Elite,16,30.03.2018,05.04.2018,HipHop
3256,Rin,Eros,Division,17,30.03.2018,05.04.2018,HipHop
3257,SXTN,Leben am Limit,Jinx Music,18,30.03.2018,05.04.2018,HipHop
3258,Miami Yacine,Casia,KMN Gang,19,30.03.2018,05.04.2018,HipHop
3259,Post Malone,Stoney,Republic Records,20,30.03.2018,05.04.2018,HipHop
3260,Ruffiction,Ausnahmezustand,Ruffiction Prod.,1,23.03.2018,29.03.2018,HipHop
3261,Olexesh,Rolexesh,385ideal,2,23.03.2018,29.03.2018,HipHop
3262,18 Karat,Geld Gold Gras,Banger Musik,3,23.03.2018,29.03.2018,HipHop
3263,RAF Camora,Anthrazit,Indipendenza,4,23.03.2018,29.03.2018,HipHop
3264,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,5,23.03.2018,29.03.2018,HipHop
3265,Juse Ju,Shibuya Crossing,Juse Ju,6,23.03.2018,29.03.2018,HipHop
3266,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,7,23.03.2018,29.03.2018,HipHop
3267,Vega,V,Universal Domestic Urban,8,23.03.2018,29.03.2018,HipHop
3268,Trettmann,#DIY,SoulForce Records,9,23.03.2018,29.03.2018,HipHop
3269,Eminem,Revival,Interscope,10,23.03.2018,29.03.2018,HipHop
3270,Fard,Alter Ego II,Ruhrpott Elite,11,23.03.2018,29.03.2018,HipHop
3271,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,12,23.03.2018,29.03.2018,HipHop
3272,Capital Bra,Blyat,Auf!Keinen!Fall!,13,23.03.2018,29.03.2018,HipHop
3273,Cro,tru.,Chimperator Productions,14,23.03.2018,29.03.2018,HipHop
3274,Kontra K,Gute Nacht,BMG,15,23.03.2018,29.03.2018,HipHop
3275,Logic,Bobby Tarantino II,Def Jam,16,23.03.2018,29.03.2018,HipHop
3276,Migos,Culture II,Capitol,17,23.03.2018,29.03.2018,HipHop
3277,SXTN,Leben am Limit,Jinx Music,18,23.03.2018,29.03.2018,HipHop
3278,Curse,Die Farbe von Wasser,Indie Neue Welt,19,23.03.2018,29.03.2018,HipHop
3279,Miami Yacine,Casia,KMN Gang,20,23.03.2018,29.03.2018,HipHop
3280,18 Karat,Geld Gold Gras,Banger Musik,1,16.03.2018,22.03.2018,HipHop
3281,Vega,V,Universal Domestic Urban,2,16.03.2018,22.03.2018,HipHop
3282,Olexesh,Rolexesh,385ideal,3,16.03.2018,22.03.2018,HipHop
3283,King Khalil,Kuku Effekt,Team Kuku,4,16.03.2018,22.03.2018,HipHop
3284,RAF Camora,Anthrazit,Indipendenza,5,16.03.2018,22.03.2018,HipHop
3285,Fard,Alter Ego II,Ruhrpott Elite,6,16.03.2018,22.03.2018,HipHop
3286,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,7,16.03.2018,22.03.2018,HipHop
3287,Logic,Bobby Tarantino II,Def Jam,8,16.03.2018,22.03.2018,HipHop
3288,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,9,16.03.2018,22.03.2018,HipHop
3289,Eminem,Revival,Interscope,10,16.03.2018,22.03.2018,HipHop
3290,Curse,Die Farbe von Wasser,Indie Neue Welt,11,16.03.2018,22.03.2018,HipHop
3291,Trettmann,#DIY,SoulForce Records,12,16.03.2018,22.03.2018,HipHop
3292,Migos,Culture II,Capitol,13,16.03.2018,22.03.2018,HipHop
3293,eRRdeKa,Solo,Keine Liebe Records,14,16.03.2018,22.03.2018,HipHop
3294,Capital Bra,Blyat,Auf!Keinen!Fall!,15,16.03.2018,22.03.2018,HipHop
3295,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,16,16.03.2018,22.03.2018,HipHop
3296,Kontra K,Gute Nacht,BMG,17,16.03.2018,22.03.2018,HipHop
3297,Olexesh,Radioaktiv,385ideal,18,16.03.2018,22.03.2018,HipHop
3298,SXTN,Leben am Limit,Jinx Music,19,16.03.2018,22.03.2018,HipHop
3299,Rin,Eros,Division,20,16.03.2018,22.03.2018,HipHop
3300,Olexesh,Rolexesh,385ideal,1,09.03.2018,15.03.2018,HipHop
3301,Fard,Alter Ego II,Ruhrpott Elite,2,09.03.2018,15.03.2018,HipHop
3302,RAF Camora,Anthrazit,Indipendenza,3,09.03.2018,15.03.2018,HipHop
3303,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,4,09.03.2018,15.03.2018,HipHop
3304,Eminem,Revival,Interscope,5,09.03.2018,15.03.2018,HipHop
3305,Tiavo,Oh Lucy,Outta This World,6,09.03.2018,15.03.2018,HipHop
3306,dicht & ergreifend,Ghetto mi nix o,Zipfe Adam Records,7,09.03.2018,15.03.2018,HipHop
3307,Olexesh,Radioaktiv,385ideal,8,09.03.2018,15.03.2018,HipHop
3308,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,9,09.03.2018,15.03.2018,HipHop
3309,Curse,Die Farbe von Wasser,Indie Neue Welt,10,09.03.2018,15.03.2018,HipHop
3310,Kontra K,Gute Nacht,BMG,11,09.03.2018,15.03.2018,HipHop
3311,Capital Bra,Blyat,Auf!Keinen!Fall!,12,09.03.2018,15.03.2018,HipHop
3312,Trettmann,#DIY,SoulForce Records,13,09.03.2018,15.03.2018,HipHop
3313,Tory Lanez,Memories Don't Die,Universal,14,09.03.2018,15.03.2018,HipHop
3314,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,15,09.03.2018,15.03.2018,HipHop
3315,Kendrick Lamar,DAMN.,Universal,16,09.03.2018,15.03.2018,HipHop
3316,B-Tight,A.i.d.S. ROYAL,Jetzt Paul,17,09.03.2018,15.03.2018,HipHop
3317,Migos,Culture II,Capitol,18,09.03.2018,15.03.2018,HipHop
3318,SpongeBOZZ,Started From The Bottom / KrabbenKoke Tape,Bikini Bottom Mafia,19,09.03.2018,15.03.2018,HipHop
3319,Haze,Die Zwielicht LP,Alte Schule,20,09.03.2018,15.03.2018,HipHop
3320,B-Tight,A.i.d.S. ROYAL,Jetzt Paul,1,02.03.2018,08.03.2018,HipHop
3321,Curse,Die Farbe von Wasser,Indie Neue Welt,2,02.03.2018,08.03.2018,HipHop
3322,RAF Camora,Anthrazit,Indipendenza,3,02.03.2018,08.03.2018,HipHop
3323,Eminem,Revival,Interscope,4,02.03.2018,08.03.2018,HipHop
3324,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,5,02.03.2018,08.03.2018,HipHop
3325,Haze,Die Zwielicht LP,Alte Schule,6,02.03.2018,08.03.2018,HipHop
3326,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,7,02.03.2018,08.03.2018,HipHop
3327,6ix9ine,Day69,Caroline Distribution,8,02.03.2018,08.03.2018,HipHop
3328,Capital Bra,Blyat,Auf!Keinen!Fall!,9,02.03.2018,08.03.2018,HipHop
3329,Kontra K,Gute Nacht,BMG,10,02.03.2018,08.03.2018,HipHop
3330,Kendrick Lamar,DAMN.,Universal,11,02.03.2018,08.03.2018,HipHop
3331,Migos,Culture II,Capitol,12,02.03.2018,08.03.2018,HipHop
3332,Trettmann,#DIY,SoulForce Records,13,02.03.2018,08.03.2018,HipHop
3333,Bausa,Powerbausa,Warner Music Germany,14,02.03.2018,08.03.2018,HipHop
3334,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,15,02.03.2018,08.03.2018,HipHop
3335,Rin,Eros,Division,16,02.03.2018,08.03.2018,HipHop
3336,SXTN,Leben am Limit,Jinx Music,17,02.03.2018,08.03.2018,HipHop
3337,Post Malone,Stoney,Republic Records,18,02.03.2018,08.03.2018,HipHop
3338,SpongeBOZZ,Started From The Bottom / KrabbenKoke Tape,Bikini Bottom Mafia,19,02.03.2018,08.03.2018,HipHop
3339,Miami Yacine,Casia,KMN Gang,20,02.03.2018,08.03.2018,HipHop
3340,Haze,Die Zwielicht LP,Alte Schule,1,23.02.2018,01.03.2018,HipHop
3341,Eminem,Revival,Interscope,2,23.02.2018,01.03.2018,HipHop
3342,RAF Camora,Anthrazit,Indipendenza,3,23.02.2018,01.03.2018,HipHop
3343,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,4,23.02.2018,01.03.2018,HipHop
3344,Bausa,Powerbausa,Warner Music Germany,5,23.02.2018,01.03.2018,HipHop
3345,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,6,23.02.2018,01.03.2018,HipHop
3346,Kendrick Lamar,DAMN.,Universal,7,23.02.2018,01.03.2018,HipHop
3347,Migos,Culture II,Capitol,8,23.02.2018,01.03.2018,HipHop
3348,Capital Bra,Blyat,Auf!Keinen!Fall!,9,23.02.2018,01.03.2018,HipHop
3349,Trettmann,#DIY,SoulForce Records,10,23.02.2018,01.03.2018,HipHop
3350,Kontra K,Gute Nacht,BMG,11,23.02.2018,01.03.2018,HipHop
3351,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,12,23.02.2018,01.03.2018,HipHop
3352,Rin,Eros,Division,13,23.02.2018,01.03.2018,HipHop
3353,SXTN,Leben am Limit,Jinx Music,14,23.02.2018,01.03.2018,HipHop
3354,Miami Yacine,Casia,KMN Gang,15,23.02.2018,01.03.2018,HipHop
3355,Veysel,Hitman,Bela Boyz,16,23.02.2018,01.03.2018,HipHop
3356,Eminem,Curtain Call,Interscope,17,23.02.2018,01.03.2018,HipHop
3357,Luciano,Eiskalt,Universal Domestic Urban,18,23.02.2018,01.03.2018,HipHop
3358,Bausa,Dreifarbenhaus,Downbeat,19,23.02.2018,01.03.2018,HipHop
3359,Post Malone,Stoney,Republic Records,20,23.02.2018,01.03.2018,HipHop
3360,Eminem,Revival,Interscope,1,16.02.2018,22.02.2018,HipHop
3361,Bausa,Powerbausa,Warner Music Germany,2,16.02.2018,22.02.2018,HipHop
3362,RAF Camora,Anthrazit,Indipendenza,3,16.02.2018,22.02.2018,HipHop
3363,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,4,16.02.2018,22.02.2018,HipHop
3364,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,5,16.02.2018,22.02.2018,HipHop
3365,Migos,Culture II,Capitol,6,16.02.2018,22.02.2018,HipHop
3366,Trailerpark,TP4L,Trailerpark,7,16.02.2018,22.02.2018,HipHop
3367,Capital Bra,Blyat,Auf!Keinen!Fall!,8,16.02.2018,22.02.2018,HipHop
3368,Trettmann,#DIY,SoulForce Records,9,16.02.2018,22.02.2018,HipHop
3369,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,10,16.02.2018,22.02.2018,HipHop
3370,Rin,Eros,Division,11,16.02.2018,22.02.2018,HipHop
3371,Kontra K,Gute Nacht,BMG,12,16.02.2018,22.02.2018,HipHop
3372,Kendrick Lamar,DAMN.,Universal,13,16.02.2018,22.02.2018,HipHop
3373,SXTN,Leben am Limit,Jinx Music,14,16.02.2018,22.02.2018,HipHop
3374,Miami Yacine,Casia,KMN Gang,15,16.02.2018,22.02.2018,HipHop
3375,Eminem,Curtain Call,Interscope,16,16.02.2018,22.02.2018,HipHop
3376,Savas & Sido,Royal Bunker,Universal Domestic Urban,17,16.02.2018,22.02.2018,HipHop
3377,Veysel,Hitman,Bela Boyz,18,16.02.2018,22.02.2018,HipHop
3378,Post Malone,Stoney,Republic Records,19,16.02.2018,22.02.2018,HipHop
3379,Bausa,Dreifarbenhaus,Downbeat,20,16.02.2018,22.02.2018,HipHop
3380,Animus,Beastmode 3,Bozz Music,1,09.02.2018,15.02.2018,HipHop
3381,Eminem,Revival,Interscope,2,09.02.2018,15.02.2018,HipHop
3382,RAF Camora,Anthrazit,Indipendenza,3,09.02.2018,15.02.2018,HipHop
3383,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,4,09.02.2018,15.02.2018,HipHop
3384,Migos,Culture II,Capitol,5,09.02.2018,15.02.2018,HipHop
3385,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,6,09.02.2018,15.02.2018,HipHop
3386,Capital Bra,Blyat,Auf!Keinen!Fall!,7,09.02.2018,15.02.2018,HipHop
3387,Trettmann,#DIY,SoulForce Records,8,09.02.2018,15.02.2018,HipHop
3388,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,9,09.02.2018,15.02.2018,HipHop
3389,Rin,Eros,Division,10,09.02.2018,15.02.2018,HipHop
3390,Kontra K,Gute Nacht,BMG,11,09.02.2018,15.02.2018,HipHop
3391,Eminem,Curtain Call,Interscope,12,09.02.2018,15.02.2018,HipHop
3392,Kendrick Lamar,DAMN.,Universal,13,09.02.2018,15.02.2018,HipHop
3393,SXTN,Leben am Limit,Jinx Music,14,09.02.2018,15.02.2018,HipHop
3394,Miami Yacine,Casia,KMN Gang,15,09.02.2018,15.02.2018,HipHop
3395,Luciano,Eiskalt,Universal Domestic Urban,16,09.02.2018,15.02.2018,HipHop
3396,Savas & Sido,Royal Bunker,Universal Domestic Urban,17,09.02.2018,15.02.2018,HipHop
3397,Bausa,Dreifarbenhaus,Downbeat,18,09.02.2018,15.02.2018,HipHop
3398,Post Malone,Stoney,Republic Records,19,09.02.2018,15.02.2018,HipHop
3399,Veysel,Hitman,Bela Boyz,20,09.02.2018,15.02.2018,HipHop
3400,Migos,Culture II,Capitol,1,02.02.2018,08.02.2018,HipHop
3401,RAF Camora,Anthrazit,Indipendenza,2,02.02.2018,08.02.2018,HipHop
3402,Eminem,Revival,Interscope,3,02.02.2018,08.02.2018,HipHop
3403,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,4,02.02.2018,08.02.2018,HipHop
3404,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,5,02.02.2018,08.02.2018,HipHop
3405,Capital Bra,Blyat,Auf!Keinen!Fall!,6,02.02.2018,08.02.2018,HipHop
3406,Trettmann,#DIY,SoulForce Records,7,02.02.2018,08.02.2018,HipHop
3407,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,8,02.02.2018,08.02.2018,HipHop
3408,Rin,Eros,Division,9,02.02.2018,08.02.2018,HipHop
3409,PA Sports & Kianush,Desperadoz II,Life Is Pain,10,02.02.2018,08.02.2018,HipHop
3410,Kontra K,Gute Nacht,BMG,11,02.02.2018,08.02.2018,HipHop
3411,Miami Yacine,Casia,KMN Gang,12,02.02.2018,08.02.2018,HipHop
3412,SXTN,Leben am Limit,Jinx Music,13,02.02.2018,08.02.2018,HipHop
3413,Savas & Sido,Royal Bunker,Universal Domestic Urban,14,02.02.2018,08.02.2018,HipHop
3414,Kendrick Lamar,DAMN.,Universal,15,02.02.2018,08.02.2018,HipHop
3415,Luciano,Eiskalt,Universal Domestic Urban,16,02.02.2018,08.02.2018,HipHop
3416,Post Malone,Stoney,Republic Records,17,02.02.2018,08.02.2018,HipHop
3417,Bausa,Dreifarbenhaus,Downbeat,18,02.02.2018,08.02.2018,HipHop
3418,Eminem,Curtain Call,Interscope,19,02.02.2018,08.02.2018,HipHop
3419,Veysel,Hitman,Bela Boyz,20,02.02.2018,08.02.2018,HipHop
3420,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,1,26.01.2018,01.02.2018,HipHop
3421,RAF Camora,Anthrazit,Indipendenza,2,26.01.2018,01.02.2018,HipHop
3422,Eminem,Revival,Interscope,3,26.01.2018,01.02.2018,HipHop
3423,Aytee & Fear,Paragraph 84,UPMGMT,4,26.01.2018,01.02.2018,HipHop
3424,PA Sports & Kianush,Desperadoz II,Life Is Pain,5,26.01.2018,01.02.2018,HipHop
3425,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,6,26.01.2018,01.02.2018,HipHop
3426,Trettmann,#DIY,SoulForce Records,7,26.01.2018,01.02.2018,HipHop
3427,Capital Bra,Blyat,Auf!Keinen!Fall!,8,26.01.2018,01.02.2018,HipHop
3428,Rin,Eros,Division,9,26.01.2018,01.02.2018,HipHop
3429,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,10,26.01.2018,01.02.2018,HipHop
3430,Kontra K,Gute Nacht,BMG,11,26.01.2018,01.02.2018,HipHop
3431,Savas & Sido,Royal Bunker,Universal Domestic Urban,12,26.01.2018,01.02.2018,HipHop
3432,Miami Yacine,Casia,KMN Gang,13,26.01.2018,01.02.2018,HipHop
3433,SXTN,Leben am Limit,Jinx Music,14,26.01.2018,01.02.2018,HipHop
3434,Play69,Babylon,BMG,15,26.01.2018,01.02.2018,HipHop
3435,Post Malone,Stoney,Republic Records,16,26.01.2018,01.02.2018,HipHop
3436,Bausa,Dreifarbenhaus,Downbeat,17,26.01.2018,01.02.2018,HipHop
3437,Luciano,Eiskalt,Universal Domestic Urban,18,26.01.2018,01.02.2018,HipHop
3438,Veysel,Hitman,Bela Boyz,19,26.01.2018,01.02.2018,HipHop
3439,Eminem,Curtain Call,Interscope,20,26.01.2018,01.02.2018,HipHop
3440,PA Sports & Kianush,Desperadoz II,Life Is Pain,1,19.01.2018,25.01.2018,HipHop
3441,Play69,Babylon,BMG,2,19.01.2018,25.01.2018,HipHop
3442,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,3,19.01.2018,25.01.2018,HipHop
3443,Eminem,Revival,Interscope,4,19.01.2018,25.01.2018,HipHop
3444,RAF Camora,Anthrazit,Indipendenza,5,19.01.2018,25.01.2018,HipHop
3445,Haiyti,Montenegro Zero,Universal Domestic Vertigo,6,19.01.2018,25.01.2018,HipHop
3446,Rin,Eros,Division,7,19.01.2018,25.01.2018,HipHop
3447,Trettmann,#DIY,SoulForce Records,8,19.01.2018,25.01.2018,HipHop
3448,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,9,19.01.2018,25.01.2018,HipHop
3449,Savas & Sido,Royal Bunker,Universal Domestic Urban,10,19.01.2018,25.01.2018,HipHop
3450,Capital Bra,Blyat,Auf!Keinen!Fall!,11,19.01.2018,25.01.2018,HipHop
3451,Bonez MC & RAF Camora,Palmen aus Plastik,Auf!Keinen!Fall!,12,19.01.2018,25.01.2018,HipHop
3452,Kontra K,Gute Nacht,BMG,13,19.01.2018,25.01.2018,HipHop
3453,Miami Yacine,Casia,KMN Gang,14,19.01.2018,25.01.2018,HipHop
3454,SXTN,Leben am Limit,Jinx Music,15,19.01.2018,25.01.2018,HipHop
3455,Bausa,Dreifarbenhaus,Downbeat,16,19.01.2018,25.01.2018,HipHop
3456,G-Eazy,The Beautiful & Damned,RCA International,17,19.01.2018,25.01.2018,HipHop
3457,Post Malone,Stoney,Republic Records,18,19.01.2018,25.01.2018,HipHop
3458,Kendrick Lamar,DAMN.,Universal,19,19.01.2018,25.01.2018,HipHop
3459,Veysel,Hitman,Bela Boyz,20,19.01.2018,25.01.2018,HipHop
3460,Eminem,Revival,Interscope,1,12.01.2018,18.01.2018,HipHop
3461,Kollegah & Farid Bang,Jung Brutal Gutaussehend 3,Banger Musik,2,12.01.2018,18.01.2018,HipHop
3462,RAF Camora,Anthrazit,Indipendenza,3,12.01.2018,18.01.2018,HipHop
3463,Trettmann,#DIY,SoulForce Records,4,12.01.2018,18.01.2018,HipHop
3464,187 Strassenbande,Sampler 4,Auf!Keinen!Fall!,5,12.01.2018,18.01.2018,HipHop
3465,Savas & Sido,Royal Bunker,Universal Domestic Urban,6,12.01.2018,18.01.2018,HipHop
