,title,artist,year,info
369,the little boy that santa claus forgot,Vera Lynn,1937,Covered by Nat King Cole in 1953. Sung on-screen by James Belushi in film Jingle All The Way.
370,the little drummer boy ,Harry Simeone Chorale,1958,"Written in 1941 by Katherine K. Davis.[53][370] A version by Lou Rawls peaked at No. 2 on Billboard magazine's special Christmas Singles chart in 1967 (it charted again in 1969).[354] Other charted versions include Johnny Cash (1959),[15] Johnny Mathis (1963),[47] Joan Baez (1966),[143] Kenny Burrell (1967),[91] RuPaul (1994),[128] Restless Heart (1999),[354] Josh Groban (2007),[371] Wilson Phillips (2010), Richard Marx (2012), Pentatonix (2013),[372] and for KING & COUNTRY (2017). A version by the Vienna Boys Choir also hit big when it was featured in the Rankin/Bass animated TV special of the same name."
371,little saint nick,The Beach Boys,1963,"Reached No. 3 on the Billboard Christmas singles chart.[143][373] Covered by Hanson (1997), Sugar Ray (2001) and She & Him (2011). Also featured in the 1979 TV special John Denver and the Muppets: A Christmas Together."
372,little sandy sleighfoot,Jimmy Dean,1957,Novelty song performed with the Ray Ellis Orchestra.[113][374]
373,lonesome christmas,Lowell Fulson,1950,"Originally charted on the R&B charts, hit the Christmas singles chart in 1964–1968 and 1970.[131]"
374,love for christmas,Felix Gross and his Orchestra,1949,Reached No. 9 on the Hot R&B Singles chart. Featured Tiny Webb on guitar and Joe Howard on tenor sax.[186]
375,love is,Leza Miller,1967,"Charted for 2 weeks on the Christmas Singles chart, peaking at No. 20. B-side is ""Loneliest Christmas Tree"".[278]"
376,love on layaway,Gloria Estefan,2000,Included on the 2001 album Now That's What I Call Christmas!.
377,macarena christmas,Los del Río,1996,"Dance record ""Macarena"", mixed with a melody of holiday songs, including ""Joy to the World"", ""Jingle Bells"", ""Silent Night"", ""Rudolph the Red-Nosed Reindeer"", ""White Christmas"", and ""Auld Lang Syne"".[34][375]"
378,the man with all the toys,The Beach Boys,1964,Reached No. 6 on the Billboard Christmas chart in 1964.[143][376]
379,marshmallow world,Bing Crosby,1950,Lyrics written by Carl Sigman and music composed by Peter De Rose.[189][377] Also recorded by Darlene Love for the classic 1963 holiday album A Christmas Gift for You from Phil Spector. Other popular versions recorded by Brenda Lee in 1964 and Dean Martin in 1966.
380,the marvelous toy,Chad Mitchell Trio,1963,"Written by Tom Paxton.[87] Peter, Paul & Mary released a version in 1969. A folk favorite, also recorded by The Irish Rovers and John Denver."
381,"mary, did you know",Kenny Rogers with Wynonna,1996,"Lyrics written in 1984 by Mark Lowry. Buddy Greene composed the music in 1990.[128][378] The song was first released on the album Michael English in 1992.[379] Also a hit for Kathy Mattea (1993), Natalie Cole (1999), Reba McEntire (1999), Clay Aiken (2005),[380] Michael Bublé, Pentatonix (2014),[381] Jordan Smith, and others."
382,mary's boy child,Harry Belafonte,1956,"Written by Jester Hairston.[143][382] Also a top 40 hit remake in the UK for Nina & Frederick in 1959, and a No. 1 hit remake in the UK for Boney M in 1978, as a medley titled ""Mary's Boy Child/Oh My Lord"".[147]"
383,may christmas bring you happiness,Luther,1976,"1970s R&B vocal quintet featuring Luther Vandross on lead vocals, along with former Shades of Jade members Anthony Hinton and Diane Sumler, Theresa V. Reed, and Christine Wiltshire."
384,may you always,Harry Harrison,1965,"Spoken-word recording accompanied by ""Auld Lang Syne"" as its instrumental backing that peaked at No. 26 on Billboard's Top Christmas Singles chart on the week ending December 25, 1965.[186] Not to be confused with the popular song of the same title. Harrison was a New York City-based radio personality and disc jockey."
385,mele kalikimaka ,Bing Crosby with The Andrews Sisters,1950,"This Hawaiian-themed Christmas song debuted on Billboard's Hot 100 chart at No. 36 on the week ending January 2, 2021. Also made these other Billboard music charts (with peak positions shown): Digital Song Sales (No. 47), Holiday 100 (No. 25), Holiday Digital Song Sales (No. 22), Holiday Streaming Songs (No. 22), Hot 100 Recurrents (No. 5), and Streaming Songs (No. 22).[383]"
387,merry christmas,Judy Garland,1949,"Written by Janice Torre and Fred Spielman, for the 1949 MGM musical film In the Good Old Summertime. Later recorded by Johnny Mathis (2002) and Bette Midler (2006)."
388,merry christmas ,The Ramones,1987,"B-side of single ""I Wanna Live""."
389,"merry christmas, baby",Johnny Moore's Three Blazers,1947,"The original version by Johnny Moore's Three Blazers peaked at No. 3 on Billboard magazine's R&B Juke Box chart during the Christmas season of 1947.[385] Charles Brown was the singer and pianist of Johnny Moore's Three Blazers. Brown also recorded a hit solo remake of the song in 1956.[158] Other versions that also charted were by Chuck Berry in 1958,[135][386] and by Otis Redding in 1968.[354] Bruce Springsteen also recorded a live version from a 1980 concert (first released in 1986 as a B-side)[387] that was made popular following its inclusion on the 1987 Special Olympics charity album A Very Special Christmas."
390,merry christmas darling,The Carpenters,1970,"Re-charted in 1971, 1972, 1973, and 1983.[15][388] Re-released in 1978 with newly recorded vocals for their 1978 holiday album Christmas Portrait.[389] Also a hit for Vanessa L. Williams in 2004.[390]"
391,merry christmas everybody,Train,2015,Peaked at No. 10 on the Billboard Adult Contemporary chart.[391] First recorded by the English rock band Slade in 1973.
392,merry christmas from the family,Robert Earl Keen,1994,From the album Gringo Honeymoon. A version by Montgomery Gentry also charted at No. 38 on Hot Country Songs in 2001.[87][392]
393,"merry christmas, happy holidays",'N Sync,1998,Hit the Top 40 Mainstream chart in 1999.[100]
394,merry christmas in the nfl,Buckner & Garcia,1980,"Novelty song which imagined Howard Cosell as Santa Claus. Performed under the pseudonym ""Willis the Guard & Vigorish"", the song reached No. 82 on the Billboard charts, despite limited airplay after Cosell found the song offensive.[85]"
395,merry christmas strait to you,George Strait,1986,"First released on Strait's 1986 holiday album Merry Christmas Strait to You, but the title track didn't hit the Billboard Hot Country Singles chart until 1998.[145][393]"
396,merry merry christmas baby,Dodie Stevens,1960,Covered by Margo Sylvia in 1994.
397,merry merry merry frickin' christmas,Frickin' A,2004,Two versions of the song. One is a tribute to the Boston Red Sox on their winning of the 2004 World Series. The other is a satire of spending time with the family.
398,merry twistmas,The Marcels,1961,"Written to capitalize on the U.S. dance craze called ""The Twist""."
399,mistletoe ,Colbie Caillat,2007,"Peaked at No. 75 on the Billboard Hot 100 singles chart and No. 44 on the Billboard Pop 100 chart in late 2007, and No. 7 on the Billboard Hot Adult Contemporary Tracks chart in early 2008.[394]"
400,mistletoe ,Justin Bieber,2011,"Peaked at No. 11 on the Billboard Hot 100 singles chart, No. 5 on Billboard's Hot Digital Songs chart in 2011. Also peaked at No. 4 on Billboard's Adult Contemporary Tracks.[395]"
401,mistletoe and holly,Frank Sinatra,1957,"Written by Frank Sinatra, Doc Stanford & Hank Sanicola. Selected as the theme song for the 1960 Christmas Seals appeal.[396]"
402,the mistletoe and me,Isaac Hayes,1969,Charted again in 1973.[264]
403,monsters' holiday,Bobby (Boris) Pickett and the Crypt-Kickers,1962,"Similar to Pickett's No. 1 pop hit single from earlier in 1962, ""Monster Mash"".[1][397]"
404,the more you give ,Michael Bublé,2015,Peaked at No. 19 on the Billboard Adult Contemporary chart in early 2016.
405,mr. hankey the christmas poo,South Park,1997,"Song debuted in the South Park episode of the same name, has appeared in several others since."
406,must be santa,Lorne Greene with the Jimmy Joyce Children's Choir,1966,Written by Hal Moore and Bill Fredricks. First recorded by Mitch Miller and the Gang in 1961. Also covered by Bob Dylan in 2009.
407,my boyfriend's coming home for christmas,Toni Wine,1963,"Includes elements of ""The First Noel"".[85]"
408,my christmas card to you,The Partridge Family,1971,Written by Tony Romeo. From the Billboard #1 Christmas album of 1971 A Partridge Family Christmas Card.
409,my favorite things,Herb Alpert & the Tijuana Brass,1968,"Originally written for the 1959 Broadway musical The Sound of Music. Charted for Herb Alpert and the Tijuana Brass, reaching No. 7 on the Billboard Easy Listening chart, #35 on the Cash Box Top 100, and #45 on the Billboard Hot 100 in early 1969.[2][398] Popular versions that charted include a minor hit for Lorrie Morgan in 1994,[87][399] a version by the band Chicago in 2001, and Kenny G in 2005.[400]"
410,my mom and santa claus,George Jones,1965,First released in 1962; charted for one week on the Billboard Christmas charts in 1965.[10]
411,my only wish ,Britney Spears,2000,Reached No. 7 on the Christmas Songs chart.[401]
412,natividad ,Harvie June Van,1967,First released on Briar Records in 1962. Re-issue on Kapp Records peaked at No. 15 on Billboard's Christmas Singles chart.[13]
413,new year's eve 1999,Alabama with Gretchen Peters,1999,Peaked at No. 55 on Billboard's Hot Country Singles & Tracks chart in early 2000.[39]
414,a new york christmas,Rob Thomas,2003,Peaked at No. 22 on Billboard's Hot 100 Singles Sales chart.[12]
415,the night before christmas ,Milton Cross,1939,"Peaked at No. 6 on Billboard's Best-Selling Children's Records chart in 1948. Recitation of Clement Moore's famous 1823 poem ""A Visit from St. Nicholas"" with musical background orchestrated by Victor Salon. Originally released in 1939.[189] A version by Jim Brickman featuring John Oates peaked at No. 5 on Billboard's Adult Contemporary chart in 2014.[402]"
416,the night before christmas ,Carly Simon,1992,Written and recorded by Simon for the 1992 film This Is My Life; also used in the 1994 film Mixed Nuts. Covered by Amy Grant in 1992.
417,the night before christmas song,Rosemary Clooney & Gene Autry,1952,"Peaked at No. 9 on Billboard's Top Popular Records – Most Played by Jockeys chart in late December 1952.[214][403] A recording of Clement Moore's famous 1823 poem ""A Visit from St. Nicholas"" featuring a melody written by Johnny Marks and orchestration by Carl Cotner."
418,the night santa went crazy,"""Weird Al"" Yankovic",1996,"Parody of Greg Lake's ""I Believe in Father Christmas"" in the style of Soul Asylum's ""Black Gold"".[404] Two versions were recorded."
419,nina-non,Joni James,1953,Featuring orchestra and chorus conducted by Lew Douglas.
420,a not so merry christmas,Bobby Vee,1962,From the album Merry Christmas from Bobby Vee.
421,the nutcracker suite,Arthur Fiedler and the Boston Pops,1958,"Also a hit for the Berlin Symphony Orchestra and many others around the world. Introduced in a stylized jazz-big band version by Les Brown in the 1957 album Concert Modern. Other hit rock versions by The Brian Setzer Orchestra and Trans-Siberian Orchestra. Latter's version retitled ""A Mad Russian's Christmas""."
422,nuttin' for christmas,Art Mooney and His OrchestraVocal by Barry Gordon,1955,"Peaked at No. 6 on Billboard's Popular Records – Best Sellers in Stores chart in 1956.[93][405] Versions by four other artists charted in December 1955 and early 1956 on one or more of Billboard's music popularity charts: Joe Ward,[13] Ricky Zahnd & The Blue Jeaners (titled ""(I'm Gettin') Nuttin' for Christmas""),[272] The Fontane Sisters,[74][406] and Stan Freberg.[131] Written by Sid Tepper and Roy C. Bennett. Eartha Kitt released a version in 1955 with different lyrics titled ""Nothin' for Christmas"" with the same writer credits. Also covered by the rock group Smash Mouth."
423,o bambino ,Harry Simeone Chorale,1964,"Peaked at No. 9 on Billboard's Christmas Singles chart. Charted again on the Christmas Singles chart and Billboard's Bubbling Under Hot 100 Singles chart in 1965.[53][407] Introduced in 1961 by The Springfields as ""Bambino (Napoli Lullaby)"". Same melody as ""Bagpiper's Carol"" by The Mariners."
424,o come all ye faithful,Twisted Sister,2006,"Performed in the style of their hit ""We're Not Gonna Take It"", while staying faithful to the carol's original words and melody."
425,o holy night,John Berry,1995,"Peaked at No. 55 on Billboard's Hot Country Singles & Tracks chart in 1996.[135][408] A 19th-century French carol, originally titled ""Cantique de Noël."" First known recorded version was released in 1916 by Enrico Caruso. First appearance on a popular Christmas album was in 1946 by Fred Waring. Other charted versions were by Martina McBride (1996),[47][409] Celine Dion (1998),[410] Josh Groban (2002),[186][411] LeAnn Rimes (2003),[354][412] Clay Aiken (2004),[413] Carrie Underwood (2009),[414] Newsboys (2010), and Richard Marx (2012). Dion's version was featured as the leading song to her popular 1998 album These Are Special Times.[415]"
426,o little town of bethlehem,Jo Stafford,1964,"On her album, ""The Joyful Season"", it features Stafford accompanying herself as a vocal choir through the use of multitrack recording."
427,o tannenbaum,Vince Guaraldi Trio,1965,Originally composed by Ernst Anschütz and performed by the Vince Guaraldi Trio for the 1965 animated TV special A Charlie Brown Christmas. A version by Aretha Franklin appeared on the 1992 album A Very Special Christmas 2.
428,oh santa!,Mariah Carey,2010,"First single released from Carey's second holiday album, Merry Christmas II You. Spent four weeks at No. 1 on Billboard's Adult Contemporary chart in December 2010 and early 2011.[416] Debuted at No. 1 on Billboard's Holiday Digital Songs chart on the week ending October 30, 2010."
430,oi to the world,The Vandals,1996,Covered by No Doubt in 1997.
431,oíche chiún ,Enya,1988,"Peaked at No. 117 on Billboard's Bubbling Under Hot 100 Singles chart in 1995. Also charted on Billboard's Hot 100 Singles Sales chart in 2000, 2002, 2003 and 2004, peaking at No. 11. The classic 1818 Franz Gruber carol sung in Gaelic.[126][418] Originally released as a B-side of Enya's 1988 single, ""Evening Falls"". Later released as the main track on a three-song EP in 1994, which was also the best-selling Christmas single in the U.S. for 10 years (1994–2004)."
432,an old christmas card,Jim Reeves,1963,From the album Twelve Songs of Christmas. Reached the Music Vendor Christmas chart the same year.
433,the old man's back in town,Garth Brooks,1992,"Peaked at No. 48 on Billboard's Hot Country Singles & Tracks chart in 1993 (charted again on the same Billboard chart in 1998, peaking at No. 59).[72][419] Included on Brooks's first holiday album, Beyond the Season."
434,old time christmas,George Strait,1999,Peaked at No. 62 on Billboard's Hot Country Singles & Tracks chart in 2000.[115][420]
435,old toy trains,Roger Miller,1967,Peaked at No. 13 on Billboard's Christmas Singles chart.[278] A 2000 version by Toby Keith peaked at No. 57 on Billboard's Hot Country Singles & Tracks chart in early 2001.[10][421]
436,one wish ,Whitney Houston,2003,"Peaked at No. 23 on Billboard's Hot Adult Contemporary chart in 2004.[36][422] Originally recorded by Freddie Jackson and included on his 1994 holiday album, Freddie Jackson at Christmas."
437,our winter love,Bill Pursell,1963,"Instrumental track that peaked at No. 9 on the Billboard Hot 100 singles chart and at No. 4 on Billboard's Middle-Road Singles chart in late March 1963, and at No. 20 on Billboard's Hot R&B Singles chart in April 1963.[38][423] A vocal version by The Lettermen peaked at No. 16 on Billboard's Top 40 Easy Listening chart and No. 72 on Billboard's Hot 100 singles chart in February 1967.[173]"
438,paper angels,Jimmy Wayne,2003,Peaked at No. 18 on Billboard's Hot Country Singles & Tracks chart in early 2004.[55][424]
439,parade of the wooden soldiers,Vincent Lopez Orchestra,1922,"The Vincent Lopez Orchestra version peaked at No. 3 on the pop singles chart in September 1922.[34][425] Other charted versions include Carl Fenton's Orchestra (1922),[57] and Paul Whiteman and His Orchestra (1923).[55][426] Music written in 1897 by Leon Jessel and popularized by Nikita Balieff's 1920s musical revue La Chauve-Souris. A version by The Crystals was also included on Phil Spector's 1963 holiday album, A Christmas Gift for You from Philles Records."
440,peace on earth/little drummer boy,David Bowie & Bing Crosby,1982,"Originally performed on September 11, 1977 for Crosby's final holiday television special, Bing Crosby's Merrie Olde Christmas, and first released as a single in 1982. Appeared on Billboard's Hot 100 Singles Sales chart in 2000, 2001, 2003 and 2004, peaking at No. 43.[147][427] A video clip of the performance from the Crosby television special became a holiday staple on MTV during the holiday season for much of the 1980s."
441,please come home for christmas,Charles Brown,1960,"Peaked at No. 21 on Billboard's Hot R&B Sides chart on the week ending January 8, 1961, and at No. 76 on Billboard's Hot 100 chart on the week ending January 7, 1962. Also made Billboard's Christmas Singles chart each December from 1963 to 1970 and again in both 1972 and 1973, peaking at No. 1 on the week ending December 16, 1972.[158][428] Written by Brown and Gene Redd."
450,"please, daddy ",John Denver,1973,"Peaked at No. 7 on Billboard's Christmas Singles chart in 1973, and at No. 69 on both the Billboard Hot 100 singles and Billboard's Hot Country Singles charts in early 1974.[113][437] Written by Bill Danoff and Taffy Nivert. Recorded for Denver's Farewell Andromeda album; on original LP and single releases the song's title was displayed as simply ""Please, Daddy"". Re-recorded for Denver's Rocky Mountain Christmas album in 1975. The song has been covered by other artists, such as Alan Jackson (1993) and The Decemberists (2006)."
451,please uncle sam ,The Charmels,1966,"An early Stax/Volt single, in which a lonely Christmas is expected due to the singer's lover being in Vietnam."
452,po' folks' christmas,Bill Anderson and The Po' Boys,1968,Peaked at No. 18 on Billboard's Christmas Singles chart.[2][438]
453,presents for christmas,Solomon Burke,1968,Released on the 1968 various artists holiday soul album Soul Christmas.
454,pretty paper,Roy Orbison,1963,"Peaked at No. 15 on the Billboard Hot 100 singles chart and No. 10 on Billboard's Middle-Road Singles chart in 1964. Also charted on Billboard's Christmas Singles chart, peaking at No. 27.[150][439] Written by Willie Nelson. The original recording by Orbison was arranged by Bill Justis, with orchestra and chorus conducted by Ivor Raymonde. A 2003 version by Kenny Chesney featuring Willie Nelson peaked at No. 45 on Billboard's Hot Country Singles & Tracks chart in 2004.[8][440] Nelson himself released two versions: his original 1964 version (for RCA Records) and a re-recording in 1979 as the title track of his holiday album released that year."
455,put a little holiday in your heart,LeAnn Rimes,1996,Peaked at No. 51 on Billboard's Hot Country Singles & Tracks chart in 1997. Single available only as a bonus CD with the purchase of Rimes's 1996 studio album Blue at Target stores during the 1996 holiday season.[354][441]
456,put christ back into christmas,Red Foley with The Anita Kerr Singers,1953,Peaked at No. 23 on the pop singles chart.[74]
457,the real meaning of christmas,Ray Conniff and The Singers,1965,Peaked at No. 19 on Billboard's Christmas Singles chart.[96]
458,redneck 12 days of christmas,Jeff Foxworthy,1995,"Peaked at No. 18 on Billboard's Hot Country Singles & Tracks chart in 1996. Parody of the traditional English song ""Twelve Days of Christmas"".[442] A 2000 cover version by the Redneck Carollers also featured Foxworthy on lead vocals."
459,reindeer boogie,Trisha Yearwood,1994,Peaked at No. 63 on Billboard's Hot Country Singles & Tracks chart in 1999.[272][443] First recorded by Hank Snow in 1953.
460,remember bethlehem,Dee Mullins,1970,Peaked at No. 71 on Billboard's Hot Country Singles chart in 1971.[87]
461,"ring out, solstice bells",Jethro Tull,1976,From the album Songs from the Wood.
462,ring those christmas bells,Peggy Lee,1953,Written by Marvin Fisher and Gus Levene. Also recorded by Lawrence Welk (1957) and Fred Waring (1959).
463,river,Barry Manilow,2002,"Peaked at No. 17 on Billboard's Adult Contemporary chart in 2003, and included on his 2002 holiday album, A Christmas Gift of Love.[5] Also recorded by Sarah McLachlan (2006).[444] Written and originally recorded by Joni Mitchell, whose original version is included on her 1971 non-holiday studio album, Blue."
464,rock and roll christmas,George Thorogood & the Destroyers,1983,
465,rockin' around the christmas tree,Brenda Lee,1958,"Written by Johnny Marks. First entered the Billboard Hot 100 singles chart at No. 64 for the week ending December 18, 1960, originally peaking at No. 14 for the week ending January 1, 1961. The single re-entered the Hot 100 chart eight times (in 1961, 1962, 2013, 2015, 2016, 2017, 2018, and 2019), eventually peaking at No. 2 for two weeks on the Hot 100 charts dated December 28, 2019 and January 4, 2020, making it the single with the longest chart run to No. 2 (at 59 years, one week, and three days).[173][445][446] The B-side of Lee's original single (Decca 30776) is ""Papa Noël"", a holiday song written by Roy Botkin."
469,rockin' little christmas,Carlene Carter,1995,Reached No. 66 on the Hot Country Singles chart.[15] Covered by Brooks & Dunn in 2002.[452]
470,"rudolph, the red-nosed reindeer",Gene Autry & the Pinafores,1949,"Spent eight weeks at No. 1 on Billboard's Children's Records chart from late November 1949 through mid January 1950. Also peaked at No. 1 on both Billboard's Best-Selling Pop Singles and Billboard's Country & Western Records Most Played by Folk Disk Jockeys charts in early 1950. Autry recorded an updated version of the song in 1957 that featured orchestration by Carl Cotner, which peaked at No. 70 on Billboard's Top 100 Sides chart.[214][453] Covered by many artists through the years, including charted versions by Bing Crosby (1950),[189] Spike Jones and his City Slickers (1950),[10] Red Foley (1951),[74] The Cadillacs (1957),[91] Paul Anka (1960),[2] The Chipmunks (1960),[8] The Temptations (1968),[12] and Alan Jackson (1996).[76][454]"
471,run rudolph run,Chuck Berry,1958,"First entered the Billboard Hot 100 singles chart on the week ending December 15, 1958, originally peaking at No. 69 two weeks later.[135][455] Re-entered the Hot 100 chart on the week ending January 5, 2019, reaching an overall peak position of No. 10 on the week ending January 2, 2021, following its third chart re-entry.[456] The B-side of Berry's original single is another holiday tune, a cover of ""Merry Christmas Baby,"" which also charted on the Hot 100 in December 1958, peaking at No. 71.[135]"
473,same old lang syne,Dan Fogelberg,1980,Peaked at No. 9 on the Billboard Hot 100 singles chart and No. 8 on Billboard's Adult Contemporary chart in February 1981.[57][459]
474,santa baby,Eartha Kitt with Henri Rene & His Orchestra,1953,"Written by Tony Springer, Phil Springer & Joan Javits.[45][460] In 1954, Eartha Kitt recorded a new version of the song with new lyrics titled ""This Year's Santa Baby"", while Homer & Jethro also recorded a version titled ""Santy Baby"" in 1954. Later covered by Mae West (1966), Madonna (1987), Kylie Minogue (2000), and Kellie Pickler (2007).[461]"
475,santa baby ,Willa Ford,2001,The lead single from the album MTV: TRL Christmas.
476,santa bring my baby back ,Elvis Presley,1957,Written by Aaron Schroeder and Claude DeMetruis.
477,santa claus and his old lady,Cheech & Chong,1971,"Spoken comedy record. Peaked at No. 4 on the Billboard Christmas Singles chart in 1971 (as well as No. 38 on the Billboard Hot 100), and the following year peaked at a new high of No. 3.[8][462]"
478,the santa claus boogie,The Tractors,1994,Re-charted on the Hot Country Singles and Hot 100 charts in 1995.[83]
479,santa claus go straight to the ghetto,James Brown,1968,Recharted in 1969. A new version from the album James Brown's Funky Christmas reached the R&B charts in 1998.[463][464]
480,santa claus got stuck in my chimney,Ella Fitzgerald,1950,
481,santa claus is back in town,Elvis Presley,1957,Written by Jerry Leiber and Mike Stoller. A 1997 version by Dwight Yoakam peaked at No. 60 on Billboard's Hot Country Singles & Tracks chart in early 1998.[272][465]
482,santa claus is comin' ,The Tractors,1995,"Reached No. 43 on the Country charts in 1996.[83][164][466] Rewriting of the group's biggest hit, ""Baby Likes to Rock It""."
483,santa claus is comin' to town,George Hall and the Hotel Taft Orchestra,1934,"Written in 1933 by Haven Gillespie and J. Fred Coots.[186][467] The Jackson 5's 1970 version hit No. 1 on Billboard's Christmas Singles chart, and charted again in 1971 and 1973.[76][468] Bruce Springsteen's 'live' version was recorded on December 12, 1975 at C.W. Post College in Greenvale, New York, and first released as a promotional single by Columbia Records in 1981.[145] Other notable hit versions were by Bing Crosby and The Andrews Sisters (1943),[2] The 4 Seasons (1962),[74][469] The Crystals (1963), The Carpenters (1975), George Strait (1995),[145] Lonestar (2000),[34][470] Steve Tyrell (2002),[83][471] Barry Manilow (2002), Harry Connick Jr. (2003),[96][472] and Michael Bublé (2011)."
484,santa claus is definitely here to stay,James Brown,1970,Reached No. 7 on the Christmas Chart in 1970.[91]
485,santa claus is watching you,Ray Stevens,1962,Featuring backing vocals by the Merry Melody Singers.[145][473]
486,santa claus lane,Hilary Duff,2002,Title track from the album Santa Claus Lane. Also used in the movie The Santa Clause 2.
487,santa got lost in texas,Jeff Carson,1996,"Based on the melody of ""The Eyes of Texas"", with lyrics rewritten by Ken Darby. Originally recorded by Michael Landon in 1963 for the album Bonanza: Christmas on the Ponderosa.[15]"
488,"santa, i'm right here",Toby Keith,1995,Peaked at No. 50 on the Billboard Hot Country Singles chart.[10]
489,santa looked a lot like daddy,Buck Owens,1965,"Reached No. 2 on the Pop charts in 1965.[150][164] Charted again by Buck Owens in 1967, and by Garth Brooks in 1998.[72][474]"
490,santa tell me,Ariana Grande,2014,"Co-written by Grande. Made these Billboard charts (with peak positions shown): Adult Contemporary (No. 7), Adult Top 40 (No. 39), Digital Song Sales (No. 24), Global 200 (No. 5), Holiday 100 (No. 1), Holiday Airplay (No. 22), Holiday Digital Song Sales (No. 1), Holiday Streaming Songs (No. 1), Hot 100 (No. 17), Hot 100 Recurrents (No. 5), Mainstream Top 40 (No. 39), and Streaming Songs (No. 14).[475][476]"
491,santa's a fat bitch,Insane Clown Posse,1997,Only single ever charted by this group on the Billboard Hot 100.[36]
492,santa's coming for us,Sia,2017,Spent three weeks at No. 1 on the Billboard Adult Contemporary chart from December 2017 to early 2018; also peaked at No. 9 on the Billboard Holiday Digital Song Sales chart in November 2017 and at No. 51 on the Billboard Holiday 100 chart.
493,santa's gonna come in a pickup truck,Redneck Carollers,2000,"Originally recorded by Alan Jackson and Alvin & the Chipmunks in 1993. The song is a redneck style parody of ""The Chipmunk Song""."
494,santa's got a semi,Keith Harling,1999,From the album Bring It On. Re-charted in 2000 from the various artists album A Christmas Collection.[186]
495,save the best for last ,Vanessa L. Williams,1992,"Previously a No. 1 U.S. hit for 5 weeks as a non-holiday single, was reworked with a new snowy theme and wintry music video, popular on MTV for many years."
496,season of love,98 Degrees,2017,Peaked at No. 18 on Billboard's Adult Contemporary chart.
497,the secret of christmas,Bing Crosby,1959,Written by Sammy Cahn and Jimmy Van Heusen. Performed by Crosby in the 1959 film Say One for Me. Crosby re-recorded the song in 1964 for the album 12 Songs of Christmas.[189]
498,sending you a little christmas,Jim Brickman featuring Kristy Starling,2003,Peaked at No. 1 on the Billboard Hot Adult Contemporary Tracks chart during the Christmas season of 2003.[72][477]
499,shake hands with santa claus,Louis Prima & His Orchestra,1951,
500,shake up christmas,Train,2010,Peaked at No. 12 on Billboard's Hot Adult Contemporary Tracks chart.[478]
501,silent night,Bing Crosby,1935,"Written on Christmas Eve in 1818 in Germany by Franz Gruber under the title ""Stille Nacht, heilige Nacht"". Crosby's original hit version features the Victor Young Orchestra and backing vocals by the Guardsmen Quartet.[3][479] First known recorded version in the U.S. was by Paul Whiteman and His Orchestra in 1928.[55][480] Other hit versions were by The Ravens (1948),[354][481] Sister Rosetta Tharpe (1949),[12][482] Mahalia Jackson (1962),[76] Barbra Streisand (1966),[115] The Temptations (1969),[12][483] Enya (1994), Kenny Chesney (2004),[8] MercyMe (2004),[484] Peter Cetera (2005),[485] Josh Groban (2007),[486] and Kelly Clarkson (2013).[487]"
502,silver and gold,Burl Ives,1964,"Written for the classic 1964 TV special, Rudolph, the Red-Nosed Reindeer.[488]"
503,silver bells,Bing Crosby & Carole Richards,1950,"Written by Jay Livingston and Ray Evans, and later used in the 1951 film The Lemon Drop Kid starring Bob Hope.[189][489] Other popular versions were also recorded by Johnny Mathis (1958), Doris Day (1964), Jo Stafford (1964), Al Martino (1964),[47] The Supremes (1965), Kate Smith (1966),[490][491] Earl Grant (1966),[93] Kenny G (1994), Kimberley Locke (2003),[39][492] Kenny Chesney (2004),[8] Lady Antebellum (2011),[493] and Whitney Wolanin (2014)."
504,six tons of toys,Paul Brandt,1998,"New lyrics to Dave Dudley's 1963 hit ""Six Days on the Road"". Reached No. 66 on the Hot Country Singles chart in 1999.[72]"
505,sleigh ride,Arthur Fiedler and the Boston Pops,1949,"Original instrumental recording; debuted and peaked at No. 24 on the Billboard Best-Selling Pop Singles chart on the week ending December 16, 1949.[147][494] Written in 1946, it was also recorded in 1950 by the song's composer, Leroy Anderson. A popular 1958 version by Johnny Mathis (backed by the Percy Faith Orchestra) was an early recording of the vocal version, with lyrics written by Mitchell Parrish."
511,slipping into christmas,Leon Russell,1972,"B-side is ""Christmas In Chicago"".[128]"
512,snoopy's christmas,The Royal Guardsmen,1967,"The third in a series of ""Snoopy vs. The Red Baron"" songs by the group. Reached No. 10 in Cashbox's pop chart, No. 1 in the Billboard Christmas chart. Re-charted in 1968 and 1969.[128]"
513,snow,Claudine Longet,1967,"The B-side of Longet's single ""I Don't Intend to Spend Christmas Without You"". Charted for two weeks on the Billboard Christmas chart.[34]"
514,snowbound for christmas,The DeCastro Sisters,1955,"Arranged by Skip Martin.[113] Also recorded by Jackie Gleason in 1967. B-side is ""Christmas Is A-Comin'""."
515,snowfall,Claude Thornhill and His Orchestra,1941,"Written by Claude Thornhill.[12] Later recorded by Billy May, Tony Bennett, Henry Mancini, Doris Day and many others."
516,snow flake,Jim Reeves,1966,Charted on both the Hot Country Singles and Hot 100 charts.[354]
517,snowflakes of love,Toni Braxton,2001,"The lead single from Toni Braxton's Christmas album Snowflakes. Includes elements of Isaac Hayes' composition ""Now We're One"".[72][498]"
518,snowtime,James Taylor,2015,Peaked at No. 19 on the Billboard Adult Contemporary chart.
