,Unnamed: 0,id,album_name,album_artist,album_release_date,gender
203,203,6QuWkRmCPHTXIJabMrLuSt,royal bunker,kool savas,2017-09-29,male
204,204,3vORhTUDg8aXEQzCZuQAmF,das goldene album,sido,2016-11-18,male
205,205,5daH8iwvl59rDhYWg1iEgf,das goldene album,sido,2016-11-18,male
206,206,4D6kZ07LaH7CUfgvZUbq9W,vi (deluxe),sido,2015-09-04,male
207,207,7hT03INvt5sOKZcaVnlwzH,30-11-80 (live),sido,2014-11-14,male
208,208,0fQtAAJlHLf5DQZJBVRt7t,ich & meine maske (premium version),sido,2014-03-01,male
209,209,5SyLIeBzGDJ4YzGDNqVVB2,30-11-80,sido,2013-01-01,male
210,210,6CfltQzaQYe1DZDRSjy2Qj,mtv unplugged live aus'm mv,sido,2010-01-01,male
211,211,1oUbKEimVzsvNablbLWxsr,aggro berlin,sido,2009-01-01,male
212,212,2xBC5FpIToABiNhGz2x3jN,ich & meine maske (premium version),sido,2008-05-30,male
213,213,1pq1kLABw0A1UCLmfhYfZr,ich (premium edition),sido,2006-12-01,male
214,214,3haQhhBpqNvWbajUwpNoiv,ich (premium edition),sido,2006-12-01,male
215,215,4uof2ZG6R07HdpkYBtPhV8,maske x,sido,2005-11-25,male
216,216,4TbgjGDL2TAlflFfktyrNP,maske x,sido,2004-04-26,male
217,217,5HyUOAxq0ye1K0DcDbEXkS,a.i.d.s. - alles ist die sekte - album nr. 3,sido,2002-05-13,male
218,218,5GtzPNjGUByw0QBZrLqxRO,a.i.d.s. - alles ist die sekte - album nr. 3,sido,2002-05-13,male
219,219,6ZOJRvHXfi9HPSefCA3Inm,abschied von gestern,afrob,2019-11-22,male
220,220,414ZLaplNAjj5NYsestgkl,"beats, rhymes & mr. scardanelli (acoustic)",afrob,2017-10-06,male
221,221,4b1VZ0Hl3qvS8DMwnsAokd,mutterschiff (deluxe edition),afrob,2016-09-23,male
222,222,05PPPgnSpwp1w0mJJplbg0,push,afrob,2015-02-06,male
223,223,7nKKQXBCa1oqvI3SqWmZ1g,der letzte seiner art,afrob,2009-09-04,male
224,224,3NsoazUnRvVEkx5UKdRJrW,hammer,afrob,2005-09-01,male
225,225,1OZ3pvc3ltuAhpAb5qsBNw,made in germany,afrob,2001-06-25,male
226,226,6bGk9TnHYMTKsQBpASDu3q,rolle mit hip hop,afrob,1999-03-29,male
227,227,5uLY2EO0C0MHUOcfY3dGP5,fml,mois,2021-04-16,male
228,228,1oBNmxPT23gkQvAqZM5sO4,regen,sero,2020-11-27,male
229,229,18nk1x5V6cSplvUBOEmJgc,road to rain,sero,2020-06-12,male
230,230,3IFlWGoPpbACwLEwpZFLmc,raw-tape (gold),sero,2018-11-16,male
231,231,3Wix0niFZgL05WtOzKcYfL,one and only,sero,2017-05-05,male
232,232,5JOW8e2bntptyHokOXw0Wo,eure lieblingssongs 3,zate,2020-05-15,male
233,233,64n0QgLFR2wLjcT4CRQ2JZ,eure lieblingssongs,zate,2019-09-03,male
234,234,0isnhIy1gj3OMXmNh1H27R,eure lieblingssongs 2,zate,2019-07-24,male
235,235,2W4vFLdLePnoXWfJ62fVgQ,it's zate,zate,2017-03-30,male
236,236,7FzVARL5hF1iZPpOTCyMpp,nimmerland,rin,2019-12-06,male
237,237,56RF57X1QdoA5qtGaLoKfP,planet megatron,rin,2018-08-17,male
238,238,55tCqWut5gobjBTJMTQJ4h,eros (2018),rin,2018-01-12,male
239,239,5UEEWxYyRXwcr85LZNnTq2,fnfzhn,kc rebell,2021-04-23,male
240,240,6qSmy5kegn2mTE6XDwqWfn,maximum iii++,kc rebell,2020-11-20,male
241,241,2GThbjQhDqjcKi3EW4xe1y,maximum iii+,kc rebell,2020-10-16,male
242,242,2CFVOe7iBvA2MVaLr0ThxP,maximum iii,kc rebell,2020-10-16,male
243,243,5pKIW3pL3HQe2i6QD0ZHMM,nur noch nice / nur noch so,summer cem,2019-12-06,male
244,244,0GmFtTSXWI5zQT995Gy7M9,nur noch nice / nur noch so,summer cem,2019-11-22,male
245,245,00JqqbMAn0sReZIOz44jiu,nur noch nice,summer cem,2019-11-08,male
246,246,2gd6TobdDVuOwzuzb6xL3f,endstufe (deluxe edition),summer cem,2018-07-27,male
247,247,5aZ95uJgT0MeoE9IoGO4rn,maximum (deluxe edition),kc rebell,2017-06-16,male
248,248,3q4H57uDpR6kxXVKdnQSuZ,cemesis,summer cem,2016-01-22,male
249,249,6fQfyxX8m7pa9aZh8LSsbI,hak (deluxe version),summer cem,2014-11-07,male
250,250,2ZIUoATlNtujHSkiqAzQBQ,"babas, doowayst & bargeld",summer cem,2013-11-22,male
251,251,24tVH3JfFQVzlxGZdOWrOj,sucuk & champagner,summer cem,2012-05-25,male
252,252,25ixCUyWZFBhf5WVBE5IVd,feierabend,summer cem,2010-11-19,male
253,253,4ur7qNxsAbTAuzCxOIePmP,zurück im fuxxxbau,antifuchs,2021-01-29,female
254,254,4iNogSNYCPDkImv4HnnXOf,"love, weed & mittelfinger",antifuchs,2019-11-29,female
255,255,6ylq5mqkHO8J355qONMQa8,stola,antifuchs,2018-03-30,female
256,256,1zGn4NBCn6H2TiwSoeEgtg,willkommen im fuxxxbau,antifuchs,2015-03-13,female
257,257,6rQ7qQZhdNfMxhNGnCirSC,mittendrin,lucio101,2020-09-18,male
258,258,1YydmO6Vp4g48x49Q0KFil,1019,lucio101,2019-09-27,male
259,259,6V3moO14XEnaLrxt5mqCoD,1019,lucio101,2019-09-27,male
260,260,1Y2HQu197WeswhHfdn7g7z,weiss,hava,2020-12-04,female
261,261,5rGopy60oifRDeIccR8smW,streben nach glück,pa sports,2021-03-11,male
262,262,3eelEjf7T7b4T74TxCvVkb,crossover,kianush,2020-04-02,male
263,263,1DLxFm14DNC1kbje6bcX7F,keine tränen,pa sports,2019-10-04,male
264,264,31hFfD2JLUbyBJ5QNhQKgn,desperadoz ii,pa sports,2018-01-12,male
265,265,4CQVo8qowrrk0CE1LKtr51,verloren im paradies,pa sports,2017-06-23,male
266,266,77xugvKygDWHxA98JNu5My,zurück zum glück (premium edition),pa sports,2016-06-03,male
267,267,20yHpnBcPxWstLHMc2wt0d,zurück zum glück,pa sports,2016-06-03,male
268,268,47BaZGTpwcRPnKqgqSp1KS,eiskalter engel,pa sports,2015-07-10,male
269,269,1OXkhv1qupGILcz5vzqtpT,eiskalter engel,pa sports,2015-07-10,male
270,270,1b55jHVVV5L3zpWMBq36qE,desperadoz (premium edition),pa sports,2014-09-19,male
271,271,0TwqnWzMt8PkxjssmgzE36,h.a.z.e (premium edition),pa sports,2014-01-31,male
272,272,6LGxiZ6phFi1vBbfG2jHau,machtwechsel,pa sports,2013-01-25,male
273,273,26th2IC2RG4BaBtmQVv9VR,vom glück zurück,pa sports,2012-04-13,male
274,274,5PMbvZExI8aGGFRpFpZBfo,vom glück zurück,pa sports,2012-04-13,male
275,275,6dcSzefSGLHJoeJcBMLbpk,vom glück zurück,pa sports,2012-04-13,male
276,276,6dGnR9DLH0xU1VLzUAsPqq,live im ostseestadion,marteria,2018-11-30,male
277,277,7zyeXBemQOEAiDWjeaFvcI,1982,marteria,2018-08-31,male
278,278,0dHuY9zp8fjszsCS91oHRU,roswell,marteria,2017-05-26,male
279,279,6a2CzJtCMHW6Fb5eUJxFdH,roswell (instrumentals),marteria,2017-05-26,male
280,280,6Ttnb4f8aPy7ytDJqV10FT,zum glück in die zukunft ii,marteria,2014-01-31,male
281,281,3RSf318o9YqZcAiJwpIb9Y,zum glück in die zukunft,marteria,2011-03-25,male
282,282,0J5pVyGvZzDxLShxu02D91,zum glück in die zukunft,marteria,2010-10-29,male
283,283,6dJll3j2Ai1hfOkH866Qf5,zum glück in die zukunft,marteria,2010-08-27,male
284,284,1dNukzXv4U43l5ykT6ecIL,zum glück in die zukunft,marteria,2010-08-27,male
285,285,0c8mSMEO52QrSOJnqCyLXM,zum glück in die zukunft,marteria,2010-08-20,male
286,286,6pcbybzdyvsfBddF8xAHJM,base ventura,marteria,2007-09-16,male
287,287,1HFzRkHlMDsC2Syj4Yrpiy,naosu,sierra kidd,2021-04-01,male
288,288,390L0jU8Qhectzab6QVRR9,600 tage,sierra kidd,2020-06-18,male
289,289,7EneJYNNN5hVnMveCJLUXt,tfs,sierra kidd,2019-07-12,male
290,290,6DNQIaDkNAatSHVoWnTQQ0,fs mansion,sierra kidd,2017-11-24,male
291,291,3Fqmb3JtpIxp2VHyqY3xyx,days before real life,sierra kidd,2017-10-20,male
292,292,4S2sWyZyUc6ZURe6pWJvA7,rest in peace,sierra kidd,2017-06-09,male
293,293,1p2iv34JAfeEeUWL7DiKAj,fsod,sierra kidd,2015-09-25,male
